Macro Cell Code	Macro Cell Label	Coordinate Range	Ideology	Friendly Label	Explanation	Recent US/Western Examples	Align Ideology 1	AI1 text	Align Ideology 2	AI2 text	Surprise Ideology 1	SI1 text	Surprise Ideology 2	SI2 text
EM-GM	Mixed-Economy Liberal Center	x: -3.33 to -1.11,  y: 1.11 to 3.33	Social Liberalism	Rights-Focused Reformer	Combines support for civil liberties and individual rights with backing for a regulated capitalist economy and a strong safety net. Believes government should protect freedoms while ensuring opportunity and basic security for all. Promotes both personal autonomy and social responsibility, creating a middle ground between laissez-faire and full socialism.	Franklin D. Roosevelt’s New Deal in the 1930s reshaped U.S. politics, mixing liberal reforms with economic intervention. Canada’s Liberal Party and the UK’s Liberal Democrats continue this tradition, showing how social liberalism uses government to protect rights, regulate markets, and cushion citizens from economic hardship.	State Liberalism	Social Liberalism and State Liberalism both call on government to uphold rights and expand opportunity, trusting reform to build a fairer society.	Progressivism	Both push steady legal change to address inequality, sharing faith in public policy as a tool to solve social problems.	Traditional Conservatism	These two value moral duty, though one frames it in reform and one in roots.	Distributism	Both seek fairness, though in different tones.
EM-GM	Mixed-Economy Liberal Center	x: -1.11 to 1.11,  y: 1.11 to 3.33	Third-Way Labour	Market-Friendly Progressive	Represents a center-left vision that embraces free markets and globalization but balances them with social programs and protections. Rejects old-school socialism while still addressing inequality through reform. Seeks to combine the growth of capitalism with fairness, offering a “third way” that claims to modernize both the economy and welfare systems.	Tony Blair’s New Labour in Britain and Bill Clinton’s New Democrats in the U.S. rebranded center-left politics in the 1990s. They promoted business-friendly policies while keeping social programs. These “third way” leaders defined a pragmatic middle ground, rejecting old socialism without fully embracing laissez-faire economics.	Neoliberalism	Third-Way Labour and Neoliberalism accept globalization and markets but soften them with welfare programs, searching for a pragmatic middle path.	Social Liberalism	Both see reform as balancing freedom and security, moderating extremes by blending market energy with social protections.	Distributism	Each side favors balance in economics, though with very different roots.	Right-Wing Nationalism	Each side talks of identity, though one seeks openness and one borders.
EM-GM	Mixed-Economy Liberal Center	x: 1.11 to 3.33,  y: 1.11 to 3.33	Neo-Conservatism	Foreign Policy Hawk	Advocates using national power, including military force, to spread values like democracy and capitalism abroad, while maintaining a conservative stance at home. Supports intervention in the name of security and ideals, even if controversial. Frames its actions as safeguarding freedom, though critics see it as overreach that imposes its worldview globally.	The George W. Bush administration featured prominent neoconservatives like Dick Cheney and Paul Wolfowitz, who argued the U.S. should spread democracy abroad, leading to wars in Iraq and Afghanistan. Earlier thinkers like Irving Kristol laid the foundation. This movement left a deep mark on 21st-century U.S. foreign policy.	Conservatism	Neo-Conservatism and Conservatism share a core respect for tradition and order, though Neo-Conservatism adds intervention abroad to spread ideals.	Liberal Conservatism	Both blend markets with tradition, but Neo-Conservatism uses power overseas to defend its version of those values.	Progressivism	The two believe in shaping the world, though their aims differ sharply.	Social Democracy	Both see global roles for states, but their missions diverge.
ER-GM	Conservative Capitalism & National Conservatism	x: 3.33 to 5.56,  y: 1.11 to 3.33	Conservatism	Mainstream Right	Favors preserving long-standing traditions and institutions while allowing only gradual, cautious change. Supports free markets and strong defense, seeing these as part of stability. Stresses law, order, and family values, portraying itself as a steady hand against upheaval, and warning that too much reform risks unraveling the social fabric.	The U.S. Republican Party under Ronald Reagan and Britain’s Conservative Party under leaders like David Cameron exemplify mainstream conservatism. They combined free markets, strong defense, and traditional values. These leaders shaped the dominant center-right framework in the modern West and continue to influence political debates.	Traditional Conservatism	Conservatism and Traditional Conservatism share a belief in stability, respect for heritage, and cautious, deliberate change when necessary.	Liberal Conservatism	Both blend trust in markets with cultural continuity, holding that freedom must rest on a foundation of shared values.	Distributism	The pair honor small scale ties, though one frames them as duty.	Progressivism	The pair care deeply about society’s future, though they see it differently.
ER-GM	Conservative Capitalism & National Conservatism	x: 5.56 to 7.78,  y: 1.11 to 3.33	Elective Monarchy	Chosen Monarch Supporter	Supports a monarchy or lifetime head of state chosen by a select council rather than by birth. The monarch rules for life but gains authority through elite election instead of bloodline. Blends ceremonial tradition with political control, creating a hybrid between elective legitimacy and authoritarian power that rarely exists in modern states.	The Pope in Vatican City is an elective monarch, chosen by cardinals rather than inheriting power. Historically, the Holy Roman Emperor was also elected by a group of elites. Modern elective monarchies are rare outside ceremonial roles, but these examples show how leaders can be chosen for life by councils.	Absolute Monarchy	Elective Monarchy and Absolute Monarchy both concentrate power in one ruler, differing mainly in how that ruler is chosen, by blood or by vote.	Constitutional Monarchy	Both keep crowns as symbols of legitimacy, though Elective Monarchies can give more authority to those they enthrone.	Libertarianism	Together they can leave daily life to local rule, though in very different ways.	Distributism	Each of them focuses on shared stability, though one uses crowns and one land.
ER-GM	Conservative Capitalism & National Conservatism	x: 7.78 to 10.00,  y: 1.11 to 3.33	Corporatism	State-and-Business Coordinator	Believes society should be organized into corporate groups such as industry and labor syndicates, each integrated into the state. Envisions government, business, and workers cooperating under state direction to avoid class conflict. Promises harmony and efficiency but subordinates individual choice to collective structures managed from above.	Mussolini’s Italy created corporatism, where the state oversaw business and labor groups to avoid class conflict. While no country today fully follows this model, modern “neo-corporatist” systems in parts of Europe, where governments broker deals between unions and businesses, faintly echo that older economic arrangement.	Falangism	Corporatism and Falangism both imagine society as organized by syndicates and groups, woven into the state to prevent conflict and enforce order.	Integralism	Both mix moral or religious guidance with collective economic planning, folding values into how work and governance are arranged.	Anarcho-Syndicalism	These two value worker groups, though one binds them to the state.	Socialism	Both dislike raw competition, but one directs and the other shares.
EL-GM	Democratic Socialism & Left Populism	x: -10.00 to -7.78,  y: -1.11 to 1.11	Orthodox Marxism	Strict Marxist	Strictly follows Karl Marx’s original theories that capitalism will collapse under class struggle, leading first to socialism and then communism. Rejects authoritarian shortcuts in favor of education and mass worker movements. Views history as an inevitable march toward classless society, with revolution driven by the people rather than an elite vanguard.	Karl Kautsky and the Second International shaped Marxist orthodoxy before World War I, insisting socialism should grow through mass movements and democracy, not coups. Today, small parties like the Socialist Party of Great Britain uphold these classical ideas, rejecting Leninist or Maoist deviations as distortions of Marx’s original thought.	Classical Marxism	Orthodox Marxism and Classical Marxism share a strict reading of Marx, holding that capitalism must collapse into socialism through worker struggle.	Luxemburgism	Both reject shortcuts to revolution, emphasizing education, agitation, and mass participation over authoritarian centralism.	Progressivism	Each of them sees history as moving forward, though at very different speeds.	Distributism	The two oppose extreme inequality, though with different visions.
EL-GM	Democratic Socialism & Left Populism	x: -7.78 to -5.56,  y: -1.11 to 1.11	Market Socialism	Cooperative Market Advocate	Envisions a socialist economy where workers or the public own and manage enterprises, but markets and competition still exist. Prices guide decisions like in capitalism, but profits serve society instead of shareholders. Tries to blend the efficiency of markets with the fairness of socialism, aiming for a hybrid model that avoids extremes.	Yugoslavia under Josip Broz Tito experimented with worker-managed firms in the 1960s, combining socialism with some market elements. Spain’s Mondragón cooperatives continue this approach, showing that workers can own and run businesses while still competing in markets. This hybrid model remains one of the more enduring socialist experiments.	Social Democracy	Market Socialism and Social Democracy both see markets as useful but in need of guardrails, balancing competition with public or worker ownership.	Democratic Socialism	Both aim to fuse equality with economic vitality, using public control to distribute wealth while still harnessing market energy.	Distributism	The two like broad ownership, though one uses markets and one small plots.	Liberalism	Each side values fairness, though one is far more structural.
EL-GM	Democratic Socialism & Left Populism	x: -5.56 to -3.33,  y: -1.11 to 1.11	Labour Liberalism	Worker-Friendly Liberal	Promotes a liberal democratic outlook that prioritizes labor rights and social justice. Strongly supports unions, fair wages, and welfare policies while keeping capitalism as the base system. Seeks to reform the economy from within, arguing that workers deserve dignity and security without dismantling the overall structure of free enterprise.	The early Progressive Era in the U.S. and Roosevelt’s New Deal improved labor rights without abandoning capitalism. Leaders like Hubert Humphrey and British social liberals continued this legacy. These cases illustrate how gradual reform, not revolution, can expand protections for workers while preserving democratic institutions.	Social Liberalism	Labour Liberalism and Social Liberalism trust government to balance worker rights with market energy, ensuring fairness without stifling growth.	Liberalism	Both believe in individual rights, layering in protections for labor to make markets work more fairly for everyone involved.	Distributism	Together they value fairness in ownership, though they differ on how to get it.	Progressivism	These two call for reform, though with different focuses.
EM-GM	Mixed-Economy Liberal Center	x: -3.33 to -1.11,  y: -1.11 to 1.11	Liberalism	Individual Rights Advocate	Represents classic Western liberal democracy committed to freedom, the rule of law, and a mixed economy. Accepts mostly capitalist markets but relies on government to provide education, infrastructure, and a safety net. Frames itself as the balance between liberty and stability, believing rights and institutions must protect both individuals and society.	Most Western governments today reflect liberal principles, from Barack Obama’s policies to Emmanuel Macron’s. They combine free markets with civil liberties and welfare programs. This balanced model, blending individual rights and economic pragmatism, has become the default framework for governance in much of the modern democratic world.	Social Liberalism	Liberalism and Social Liberalism both protect personal freedom and believe in government’s role to balance markets with fairness for all citizens.	Classical Liberalism	Both Liberalism and Classical Liberalism share a core of individual rights and free markets, though Liberalism invites more social intervention.	Distributism	Each side wants fairness for individuals, though one looks to markets and one to land.	Civic Conservatism	Both trust in community responsibility, though they frame it differently.
EM-GM	Mixed-Economy Liberal Center	x: -1.11 to 1.11,  y: -1.11 to 1.11	Centrism	Pragmatic Moderate	Rejects extreme ideologies on the left or right, instead seeking compromise and practical solutions. Blends policies from both sides, mixing market freedom with welfare and regulation as needed. Frames centrism as realism, favoring gradual adjustments and middle-ground solutions over radical changes or ideological purity in governing.	Leaders like Joe Biden in the U.S. or Angela Merkel in Germany govern from the center, borrowing ideas from left and right. They avoid extremes, favoring incremental reforms and compromises. These figures embody centrist politics, which prizes stability and consensus rather than dramatic ideological swings or upheaval.	Liberal Democracy	Centrism and Liberal Democracy both prize moderation and balance, mixing policies from all sides to maintain stability and avoid extremes.	Third-Way Labour	Both Centrism and Third-Way Labour avoid ideological rigidity, blending free markets with welfare to keep society steady and pragmatic.	Juche	The pair think strategy matters, though one seeks balance and one isolation.	Falangism	The pair talk of unity, but with radically different meanings.
EM-GM	Mixed-Economy Liberal Center	x: 1.11 to 3.33,  y: -1.11 to 1.11	Neoliberalism	Market Reformer	Prioritizes free-market policies worldwide, pushing for privatization, deregulation, and reduced state spending on welfare. Argues that competition and trade lead to growth and prosperity. Frames itself as modernizing and efficient, but critics warn it can deepen inequality and weaken protections for vulnerable groups in the pursuit of unfettered markets.	Margaret Thatcher in the U.K. and Ronald Reagan in the U.S. pushed neoliberalism in the 1980s, slashing taxes, deregulating industries, and opening markets. Groups like the IMF spread these policies globally. While controversial, this agenda reshaped economies and remains a powerful influence on modern economic thinking.	Liberal Capitalism	Neoliberalism and Liberal Capitalism both seek to unleash markets and minimize regulation, trusting competition to produce prosperity.	Third-Way Labour	Both Neoliberalism and Third-Way Labour support globalization and markets, differing mainly in how much welfare they wrap around them.	Eco-Socialism	These two think globally, though one for markets and one for the planet.	Georgism	Each of them likes efficient use of land and capital, though for opposite ends.
ER-GM	Conservative Capitalism & National Conservatism	x: 3.33 to 5.56,  y: -1.11 to 1.11	Liberal Conservatism	Free-Market Right	Combines a conservative social outlook with classic liberal economics. Supports family values and tradition while backing free markets and limited government intervention. Frames itself as pragmatic center-right: enough liberty to encourage growth and innovation, enough order to maintain stability and cultural continuity in an ever-changing world.	The mainstream European center-right, including Angela Merkel and France’s Gaullist successors, mixes conservatism with liberal economics. In the U.S., figures like Senator Susan Collins fit this model: socially moderate but fiscally cautious. This balance defines much of today’s non-extreme right-wing politics in Western democracies.	Conservatism	Liberal Conservatism and Conservatism both trust tradition, but Liberal Conservatism adds markets and reform to keep those traditions viable.	Civic Conservatism	Both value responsibility and continuity, fusing personal liberty with cultural heritage to guide their politics.	Democratic Socialism	Each of them believes in balancing fairness and order, though in distinct ways.	Libertarianism	Both prize freedom, though for different reasons and scales.
ER-GM	Conservative Capitalism & National Conservatism	x: 5.56 to 7.78,  y: -1.11 to 1.11	Traditional Conservatism	Heritage Conservative	Emphasizes preserving long-standing institutions like monarchy, church, and heritage. Suspicious of both radical change and unrestrained capitalism, it seeks a stable hierarchy built on duty and virtue. Frames itself as a guardian of tradition, believing that preserving the old ways is the best path to order, meaning, and social harmony.	Edmund Burke’s 18th-century writings built the foundation of traditional conservatism. Modern “High Tory” traditionalists in the U.K. and old royalist movements in Europe keep his philosophy alive. They emphasize heritage, hierarchy, and the idea that society should evolve slowly, preserving the wisdom of past generations.	Civic Conservatism	Traditional Conservatism and Civic Conservatism both respect history, faith, and slow reform, keeping culture and order at the heart of life.	Paleoconservatism	Both hold tightly to heritage and social hierarchy, resisting disruption from rapid change or foreign influence.	Mutualism	The two value community roots, though one is top down and one is shared.	Socialism	These two oppose raw greed, though their visions differ entirely.
ER-GM	Conservative Capitalism & National Conservatism	x: 7.78 to 10.00,  y: -1.11 to 1.11	Capitalism	Free-Market Advocate	Believes the economy works best when private owners control trade and industry for profit, with minimal government interference. Champions competition, private property, and innovation as the keys to prosperity. Frames capitalism as the natural way for society to grow, assuming that personal ambition drives progress and benefits the wider public.	The United States and most Western economies operate on capitalist principles, with entrepreneurs like Elon Musk embodying the system’s values. Classic theorists like Adam Smith argued for private ownership and free markets centuries ago. Their ideas became the backbone of modern economies, shaping innovation, growth, and global commerce.	Liberal Capitalism	Capitalism and Liberal Capitalism share the same belief in markets, private property, and competition as the engine for growth and innovation.	Libertarian Capitalism	Both see wealth creation as driven by individual initiative, trusting free markets to reward effort and spur new ideas.	Georgism	Together they prize markets, though Georgism wants to reshape how land fits in.	Progressivism	Each side sees the future as shaped by action, though with different goals.
EL-GM	Democratic Socialism & Left Populism	x: -10.00 to -7.78,  y: -3.33 to -1.11	Luxemburgism	Grassroots Revolutionary	Follows Rosa Luxemburg’s vision of socialism through mass democracy, not authoritarian control. Supports revolution and worker uprisings, but insists ordinary people, not party elites, must stay in charge. Warns against dictatorship corrupting socialism, framing democracy and activism as essential to any lasting and just transformation of society.	Rosa Luxemburg fought for democratic socialism in early 20th-century Germany, opposing authoritarian communists like Lenin. Today, her ideas survive in small activist groups and socialist thinkers who advocate mass strikes and grassroots democracy. Her legacy continues to influence debates on how socialism should be achieved.	Trotskyism	Luxemburgism and Trotskyism both believe in global revolution but stress democracy and grassroots movements rather than centralized control.	Orthodox Marxism	Both uphold classic Marxist thinking, favoring education and mass action over authoritarian shortcuts to communism.	Progressivism	The pair trust people to lead change, though they see the path differently.	Civil Libertarianism	Both reject oppression, but one targets bosses and one governments.
EL-GM	Democratic Socialism & Left Populism	x: -7.78 to -5.56,  y: -3.33 to -1.11	Syndicalism	Union-Led Revolutionary	Argues that workers’ unions should overthrow capitalism and then directly run the economy. Envisions a federation of labor groups managing industries collectively, often through a general strike. Frames itself as the purest worker-led movement, bypassing politicians and bosses to put power directly into the hands of those who produce.	French and Spanish labor movements in the early 1900s pushed syndicalism, where unions would run the economy. In the U.S., the Industrial Workers of the World (“Wobblies”) promoted a similar “One Big Union” dream. These efforts showed how radical labor groups imagined bypassing government and bosses to empower workers directly.	Anarcho-Syndicalism	Syndicalism and Anarcho-Syndicalism both empower worker unions to transform society, organizing production around collective labor action.	Council Communism	Both see workers directly managing society, bypassing bosses and party elites in favor of grassroots decision-making.	Distributism	Each side trusts smaller structures, though for different reasons.	Traditional Conservatism	The pair value organic communities, though one is radical and one cautious.
EL-GM	Democratic Socialism & Left Populism	x: -5.56 to -3.33,  y: -3.33 to -1.11	Social Democracy	Welfare-Market Balancer	Wants capitalism’s inequalities softened but not abolished. Supports high taxes, strong unions, and universal programs like healthcare, pensions, and education. Frames itself as a fair version of capitalism, one where everyone has security and dignity, and where wealth is shared enough to prevent poverty without stifling enterprise or innovation.	The Nordic nations like Sweden, Denmark, and Norway show social democracy in action, blending strong welfare states with market economies. Postwar Western Europe also embraced this model, building “social market” systems that delivered prosperity, healthcare, and education while keeping capitalist competition alive.	Democratic Socialism	Social Democracy and Democratic Socialism blend markets with welfare, both seeking equality without dismantling capitalism entirely.	Market Socialism	Both use public ownership and market tools, aiming for fairness without stifling initiative or competition.	Liberal Conservatism	These two favor pragmatic reforms to maintain stability.	Georgism	Each of them thinks resources should serve everyone, in different ways.
EM-GM	Mixed-Economy Liberal Center	x: -3.33 to -1.11,  y: -3.33 to -1.11	Liberal Democracy	Rights-and-Rules Supporter	Refers to modern democracies with free elections, guaranteed rights, and checks and balances. Emphasizes freedom of speech, religion, and press, seeing them as essential. Frames itself as the gold standard of governance: protecting individuals, restraining power, and creating a framework where competing ideas can coexist without descending into chaos.	The U.S., Canada, and much of Europe are liberal democracies, combining elections, civil rights, and the rule of law. The U.S. Bill of Rights and Britain’s parliamentary tradition exemplify this. These systems protect individual freedoms while providing frameworks for orderly governance and debate between competing political visions.	Liberalism	Liberal Democracy and Liberalism both enshrine personal freedom, free elections, and rule of law as the pillars of a just society.	Centrism	Both strive for balance, combining representation and moderation to protect rights without tipping into extremes.	Distributism	The two value fairness in systems, though in different tones.	Traditional Conservatism	Together they admire order, though one is more modern in its vision.
EM-GM	Mixed-Economy Liberal Center	x: -1.11 to 1.11,  y: -3.33 to -1.11	Welfare Capitalism	Caring Capitalist	Supports capitalism but insists on a social safety net to cushion its harshness. Includes welfare programs, public healthcare, or employer benefits like pensions. Frames this as a humane version of capitalism: markets deliver growth and innovation, while safety nets ensure people are not left destitute when those markets fail or fluctuate.	Germany’s social market economy shows welfare capitalism, where the state offers safety nets but markets drive growth. In the past, large U.S. companies also offered pensions and healthcare to workers, showing how private businesses and governments alike have blended capitalism with social protections to keep workers secure.	Liberal Capitalism	Welfare Capitalism and Liberal Capitalism share markets as their base but soften their edges with social benefits for security and stability.	Social Democracy	Both merge capitalism and welfare, using safety nets to ensure people are protected while markets thrive.	Distributism	Each of them aims for fairness, though one uses policy and one small property.	Progressivism	Both see reform as a duty, though with distinct goals.
EM-GM	Mixed-Economy Liberal Center	x: 1.11 to 3.33,  y: -3.33 to -1.11	Liberal Capitalism	Light-Touch Capitalist	Supports a free-market system with almost no government interference beyond protecting property and contracts. Frames itself as “hands off,” trusting supply and demand to regulate itself. Believes individuals know best how to pursue their goals, and that government meddling only slows growth and stifles innovation.	The U.S. Gilded Age of the late 1800s was laissez-faire capitalism at its peak: industrialists like Carnegie and Rockefeller operated with almost no regulation. Modern examples like Hong Kong, with low taxes and light regulation, show how laissez-faire policies still appeal to those seeking maximum economic freedom.	Capitalism	Liberal Capitalism and Capitalism both rely on markets and private ownership, championing freedom of enterprise as the best path to prosperity.	Neoliberalism	Both back globalization and deregulation, seeing open markets as the driver of growth and efficiency.	Eco-Socialism	Together they think about resource use, though with opposite outcomes in mind.	Distributism	Each side discusses fairness, though they frame it very differently.
ER-GM	Conservative Capitalism & National Conservatism	x: 3.33 to 5.56,  y: -3.33 to -1.11	Civil Libertarianism	Freedom Advocate	Places the highest value on personal freedoms like speech, privacy, and due process, and resists any law or corporation that infringes on them. Crosses party lines, opposing surveillance, censorship, or restrictions on choice. Frames civil liberty as the foundation of all justice and argues that without it, no political or economic system is truly free.	The American Civil Liberties Union (ACLU) campaigns for free speech, privacy, and due process. Politicians like Rand Paul and whistleblowers like Edward Snowden also reflect civil libertarian values by opposing surveillance and restrictions. These figures and groups show how civil libertarianism actively shapes Western debates about rights and security.	Libertarianism	Civil Libertarianism and Libertarianism share fierce protection of personal freedoms, resisting intrusion from government or corporate power.	Social Libertarianism	Both insist on rights to speech, privacy, and autonomy, trusting individuals over institutions to shape their lives.	Progressivism	The pair want to expand freedoms, though one seeks reform and one limits law.	Distributism	The two value autonomy, but for very different reasons.
ER-GM	Conservative Capitalism & National Conservatism	x: 5.56 to 7.78,  y: -3.33 to -1.11	Conservative Libertarianism	Small-Government Traditionalist	Fuses conservative cultural values like family, patriotism, and gun rights with small-government economics. Champions individual liberty, free markets, and personal responsibility but through a right-leaning lens. Frames itself as defending both tradition and freedom, seeking to keep government limited while keeping cultural norms intact.	Senator Rand Paul in the U.S. blends libertarian economics with some conservative cultural views. The Tea Party movement of the 2010s also pushed for lower taxes and less government while holding traditional values. These examples illustrate how libertarianism and conservatism often overlap in Western right-leaning politics.	Libertarianism	Conservative Libertarianism and Libertarianism both demand small government and free markets, but Conservative Libertarianism adds cultural traditions.	Liberal Conservatism	Both tie liberty to cultural heritage, blending individual rights with respect for long-held values.	Distributism	These two value self reliance, though with different paths to it.	Civic Conservatism	Both cherish responsibility, though one frames it with freedom.
ER-GM	Conservative Capitalism & National Conservatism	x: 7.78 to 10.00,  y: -3.33 to -1.11	Libertarian Capitalism	Hardcore Market Libertarian	Advocates extreme laissez-faire capitalism with a state reduced to the bare minimum. Government exists only to keep peace, protect property, and enforce contracts. Frames this as pure freedom: a society where people succeed or fail entirely on their own terms, without regulations, subsidies, or interference from lawmakers or bureaucrats.	Ayn Rand’s novel “Atlas Shrugged” imagines a society of pure capitalism and minimal government. Economists like Milton Friedman promoted similar policies, though he accepted some government roles. Today, the more radical side of the Libertarian Party fully embraces her vision, making Rand an enduring icon of extreme laissez-faire ideals.	Libertarianism	Libertarian Capitalism and Libertarianism both demand minimal state interference, believing free markets and private property drive progress and personal freedom.	Capitalism	Both trust competition and ownership to fuel growth, seeing government mostly as a guardian of contracts and property rather than an economic manager.	Distributism	Each side wants people to own property, though one favors markets and one small plots.	Progressivism	These two believe change is possible, but their visions differ entirely.
EL-GL	Libertarian Socialism & Anarcho-Communism	x: -10.00 to -7.78,  y: -5.56 to -3.33	Classical Marxism	Foundational Marxist	Clings to Karl Marx’s original critique of capitalism and belief in a proletarian revolution, often interpreting it in an anti-authoritarian way. Distrusts Leninist or Maoist methods, preferring worker self-emancipation over top-down control. Frames history as a struggle that only ends when workers liberate themselves and dismantle oppressive systems.	Karl Marx and Friedrich Engels founded Marxism, inspiring early groups like the Socialist Party of Great Britain. They promoted worker education and democratic revolution over violent coups. These movements shaped how socialism developed, showing that Marx’s ideas could fuel both radical change and gradualist approaches.	Orthodox Marxism	Classical Marxism and Orthodox Marxism follow Marx’s original writings, believing class struggle will end capitalism and bring about a classless society.	Luxemburgism	Both avoid authoritarian shortcuts, stressing education, agitation, and mass worker participation to achieve revolution.	Distributism	The two worry about concentrated power, though they frame it differently.	Civic Conservatism	Each of them discusses community, but one fights for it and one protects it.
EL-GL	Libertarian Socialism & Anarcho-Communism	x: -7.78 to -5.56,  y: -5.56 to -3.33	Eco-Socialism	Green Socialist	Merges environmentalism with socialism, arguing that capitalism’s hunger for profit is destroying the planet. Calls for public or cooperative control of resources to protect ecosystems and meet needs sustainably. Frames this as the only way to stop climate collapse: combining green planning, social justice, and a break from exploitative economics.	The U.S. Green New Deal and European Green parties contain eco-socialist themes, linking environmental protection with economic reform. Groups like Extinction Rebellion argue that capitalism’s drive for profit is destroying the planet. These movements show how green activism increasingly intersects with socialist critiques of the economy.	Socialism	Eco-Socialism and Socialism share the goal of dismantling economic systems that perpetuate inequality, adding an ecological urgency to reshape society.	Progressivism	Both see reform as necessary for survival, advocating sweeping change to protect both the planet and people from harm.	Georgism	Together they think deeply about land and resources, though with different ends.	Libertarian Socialism	The pair see a freer world, though with different routes to get there.
EL-GL	Libertarian Socialism & Anarcho-Communism	x: -5.56 to -3.33,  y: -5.56 to -3.33	Progressivism	Social Reformer	Favors continual improvement of society through reform rather than upheaval. Tackles inequality, corruption, and injustice by changing laws and expanding rights. Frames progressivism as the antidote to stagnation, believing that with enough activism and gradual change, society can steadily become fairer, freer, and more humane for everyone.	The U.S. Progressive Era, including Theodore Roosevelt’s reforms, tackled corporate monopolies and corruption. Figures like Elizabeth Warren continue that tradition, fighting inequality and pushing structural reforms. This thread of progressive politics shows how steady, law-based reforms can reshape economies without calling for outright revolution.	Social Liberalism	Progressivism and Social Liberalism share faith in legal reform, believing laws and policies can dismantle injustice and bring long-term fairness.	Eco-Socialism	Both advocate systemic change to address harm, one focusing on climate and one on broader inequity, but both see reform as essential.	National Capitalism	Each of them wants to steer markets, but for opposite reasons.	Liberal Conservatism	Both prize responsibility, though they define it differently.
EM-GL	Social-Market Libertarianism	x: -3.33 to -1.11,  y: -5.56 to -3.33	Nordic Liberalism	Scandinavian Model Advocate	Draws inspiration from Scandinavian nations that mix free markets with generous welfare and liberal values. Promotes economic growth alongside universal healthcare, education, and equality. Frames itself as pragmatic and balanced, showing that prosperity and fairness can coexist when markets are tempered with compassion and public investment.	Countries like Sweden, Denmark, and Norway showcase thriving economies paired with universal benefits like healthcare and education. Policy experts see these models as proof that markets and welfare can coexist, offering both prosperity and fairness. They stand as the clearest example of balanced modern social democracy.	Social Democracy	Nordic Liberalism and Social Democracy both fuse markets with generous welfare, showing capitalism and equality can coexist in balance.	Liberalism	Both value freedom and individual rights, layering in support systems to ensure no one is left behind while pursuing opportunity.	Distributism	The pair cherish broad security, though with very different roots.	Civic Conservatism	Each side values stability, though framed in different traditions.
EM-GL	Social-Market Libertarianism	x: -1.11 to 1.11,  y: -5.56 to -3.33	Social Libertarianism	Free-Spirited Leftist	Stresses personal freedom and minimal state control, but accepts voluntary efforts to help others. Supports mutual aid and community solutions rather than government programs. Frames social libertarianism as liberty with a conscience, arguing that people can build safety nets together without needing heavy-handed state involvement or coercion.	Some “bleeding heart libertarians” blend free-market ideals with concern for the poor, supporting voluntary safety nets or even basic income. Pirate Parties and academic movements reflect this trend. These examples show that even within libertarianism, there are currents that prioritize compassion alongside personal freedom.	Libertarianism	Social Libertarianism and Libertarianism both demand individual freedom, with Social Libertarianism adding a strong concern for voluntary aid and equity.	Civil Libertarianism	Both protect civil rights and personal autonomy, rejecting coercion and trusting people to create fairer, freer communities.	Distributism	These two like community care, though for very different reasons.	Progressivism	Both expand freedoms, though they frame them differently.
EM-GL	Social-Market Libertarianism	x: 1.11 to 3.33,  y: -5.56 to -3.33	Georgism	Land Tax Advocate	Proposes taxing the value of land and natural resources to fund society, while removing taxes on labor and production. Frames land value as unearned wealth that should benefit everyone. Believes this creates fairness, discourages speculation, and frees workers and businesses to produce without the burden of excessive taxation on their efforts.	Henry George’s land tax ideas shaped reforms in the 1800s. Some cities experimented with taxing land value, and today, economists and urbanists still advocate it to fix housing costs. Calls to “tax land, not labor” surface in debates in places like London or San Francisco, keeping Georgism alive in policy talk.	Geo-Libertarianism	Georgism and Geo-Libertarianism share the idea that land and resources belong to all, calling for land taxes while freeing labor and trade from heavy burdens.	Eco-Socialism	Both see land as the root of fairness and survival, seeking to manage resources for the benefit of everyone rather than profit alone.	Traditional Conservatism	Each side attaches meaning to land, though one sees heritage and one fairness.	Capitalism	Together they trust markets partly, but in very different ways.
ER-GL	Anarcho-Capitalism & Ultra-Free-Market Libertarianism	x: 3.33 to 5.56,  y: -5.56 to -3.33	Classical Liberalism	Early Liberal Thinker	Represents the original form of liberalism, rooted in the nineteenth century. Emphasizes freedom, private property, free markets, and minimal government. Frames competition as the path to progress, arguing that when the state stays out of the way, innovation and prosperity naturally follow, with government existing only to protect basic rights.	John Locke and Adam Smith laid the foundations for classical liberalism. Politicians like William Gladstone carried these ideas into practice, promoting free markets and limited government. Today, some libertarians and moderates still identify as classical liberals, linking modern small-government views to this older intellectual tradition.	Liberalism	Classical Liberalism and Liberalism both defend free markets and personal liberty, with Classical Liberalism clinging most tightly to limited government.	Libertarianism	Both fight for economic and personal freedom, though Classical Liberalism keeps a bit more space for state duties like infrastructure.	Distributism	The two value personal ownership, though one imagines tiny farms.	Civic Conservatism	The two think community matters, but for different ends.
